Name,Category,UOM,MinOnHand,Par
ABSOLUT VODKA (1000ml),BAR,L,1 Bot + 760mL,
Acai Berry Powder,BAR,KG,147 Grams,
AMARETTO LIQUEUR (750ml),BAR,ML,1 Bot + 100mL,
AMBIENTE,BAR,L,10 L,
ANGOSTURA BITTER,BAR,ML,300mL,
ANTONOV VODKA (700ml),BAR,ML,33 Bot + 520mL,
Avocado Powder,BAR,KG,222 Grams,
BACARDI 151,BAR,ML,,
BACARDI SUPERIOR (750ml),BAR,ML,2 Bot + 130mL,
BAILEY'S (700ml),BAR,ML,2 Bot + 400mL,
BALLENTINES (700ml),BAR,ML,1 Bot + 530mL,
Bee Pollen,BAR,GR,57 Grams,
Beetroot Powder,BAR,KG,,
BLUE CURACAO,BAR,ML,7 Bot + 180mL,
BOMBAY SAPPHIRE (750ml),BAR,ML,3 Bot + 240mL,
BOTTLED WATER (1000ml),BAR,EA,117 Bot,
BOTTLED WATER (1500ml),BAR,EA,,
BOTTLED WATER 500ML,BAR,EA,,
CACHACA,BAR,ML,1 Bot,
CALAMANSI JUICE POWDER,BAR,EA,,
CAMPARI,BAR,ML,2 Bot + 170mL,
CAPTAIN MORGAN,BAR,L,3 Bot + 180mL,
CARAMEL SYRUP,BAR,ML,10 Bot + 500mL,
CARDAMON,BAR,KG,,
CHERRY BRANDY,BAR,ML,19 Bot + 180mL,
CHIVAS REGAL (1000ml),BAR,L,1 Bot + 480mL,
CHOCOLATE SAUCE,BAR,L,5 Bot + 300mL,
CITRIC ACID,BAR,KG,7 KL,
COCONUT RUM,BAR,ML,20 Bot + 420mL,
COFFEE LIQEUER,BAR,ML,,
COINTREAU (700ml),BAR,ML,2 Bot + 60mL,
COKE (1500ml),BAR,L,114 Bot,
COKE LIGHT,BAR,EA,,
COKE REG (CAN),BAR,EA,160 Cans,
COKE ZERO (CAN),BAR,EA,22 Cans,
COOKIES,BAR,EA,86 Pack,
CRANBERRY JUICE,BAR,L,3 L + 800mL,
CREAM CHARGER,BAR,EA,5 Bot,
DISARONNO,BAR,ML,1 Bot + 700mL,
Doking Passion Fruit Jam,BAR,KG,1.700 kgrams,
DON PAPA (700ml),BAR,ML,2 Bot + 390mL,
Dried Lavender,BAR,GR,,
EL HOMBRE GOLD/SILVER (700ml),BAR,ML,117 Bot + 280mL,
FIRE BALL (750ml),BAR,ML,1 Bot + 60mL,
FRESH COCONUT,BAR,EA,,
FRESH MILK,BAR,L,182 L,
GILBEYS GIN (1000ml),BAR,L,,
GILBEYS VODKA (1000ml),BAR,L,,
GRAND MARINIER (700ml),BAR,ML,,
Grassfed Butter Powder,BAR,KG,,
GRENADINE (700ml),BAR,ML,5 Bot + 400mL,
GREY GOOSE (750ml),BAR,ML,2 Bot + 120mL,
GSM GIN (750ml),BAR,ML,170 Bot + 570mL,
HAZELNUT SYRUP,BAR,ML,10 Bot,
HENDRICKS GIN (750ml),BAR,ML,2 Bot,
HENNESSY VSOP (700ml),BAR,ML,,
HOUSE RED WINE,BAR,ML,,
ICE TEA POWDER,BAR,EA,51 Pack,
INFERNO (700ml),BAR,ML,1 Bot + 240mL,
JACK DANIELS (1000ml),BAR,L,1 Bot + 680mL,
JAGERMEISTER (700ml),BAR,ML,4 Bot + 450mL,
JAMAICA,BAR,ML,80 Bot,
JAMESON (700ml),BAR,ML,1 Bot + 420mL,
JIM BEAM (1000ml),BAR,L,1 Bot + 980mL,
JOSE CUERVO (1000ml),BAR,L,4 Bot + 60mL,
JW BLACK LABEL (1000ml),BAR,L,2 Bot + 440mL,
JW RED LABEL (1000ml),BAR,L,2 Bot + 880mL,
KAHLUA (1000ml),BAR,ML,1 Bot + 370mL,
LEMON,BAR,EA,80 Pcs,
LIME,BAR,KG,,
LYCHEE POWDER,BAR,EA,,
Maca Root Powder,BAR,KG,120 Grams,
MALIBU (700ml),BAR,ML,3 Bot + 260mL,
MANGO POWDER,BAR,EA,48 Pack,
Marine Collagen,BAR,KG,800 Grams,
MARTINI EXTRA DRY,BAR,L,1 Bot,
MARTINI ROSSO,BAR,L,3 Bot,
Matcha (Ceremonial Grade),BAR,KG,374 Grams,
MAURO COFFEE BEAN,BAR,KG,20 KL,
MCT Oil C8 Blend,BAR,ML,,
MCT Oil Powder,BAR,KG,,
MELON LIQUOR,BAR,ML,11 Bot + 380mL,
MELON POWDER JUICE,BAR,EA,,
MENTHE GREEN,BAR,ML,,
MIDORI (700ml),BAR,L,2 Bot + 420mL,
NAPOLEON VSOP,BAR,ML,1 Bot + 510mL,
ORANGE,BAR,EA,,
PATRON REPOSADO (750ml),BAR,ML,2 Bot + 455mL,
PATRON SILVER (750ml),BAR,ML,2 Bot + 180mL,
PEACH SCHNAPPS,BAR,ML,2 Bot + 300mL,
POMELO POWDER,BAR,EA,,
PROSECCO WINE,BAR,ML,,
Psyllium Fiber,BAR,GR,54 Grams,
RED HORSE (BT),BAR,EA,450 Bot,
RED VERMOTH,BAR,L,,
REDBULL,BAR,EA,103 Bot,
REMY MARTIN V.S.O.P (700ml),BAR,ML,,
REMY MARTIN VSOP,BAR,ML,,
RICARD PASTIS,BAR,L,900mL,
Rooibos Tea,BAR,GR,,
ROYAL (CAN),BAR,EA,124 Cans,
SAMBUCA (700ml),BAR,ML,2 Bot + 550mL,
SAN MIGUEL APPLE (BT),BAR,EA,96 Bot,
SAN MIGUEL LEMON (BT),BAR,EA,210 Bot,
SAN MIGUEL LIGHT (BT),BAR,EA,395 Bot,
SAN MIGUEL PILSEN (BT),BAR,EA,360 Bot,
SODA CHARGER,BAR,EA,,
SODA WATER (CAN),BAR,EA,140 Cans,
SOUTHERN COMFORT,BAR,ML,,
Spirulina Powder,BAR,KG,1168 Kgrams,
SPRITE (1500ml),BAR,L,123 Bot,
SPRITE (CAN),BAR,EA,147 Cans,
STOLICHNAYA (700ml),BAR,ML,1 Bot + 520mL,
STRAWBERRY POWDER JUICE,BAR,EA,78 Pack,
STRAWBERRY PUREE,BAR,ML,3 Bot + 800mL,
STRAWBERRY SYRUP,BAR,ML,8 Bot + 200mL,
SUNQUICK LEMON,BAR,ML,7 Bot + 760mL,
TAGAY,BAR,ML,,
TANDUAY DARK (750ml),BAR,ML,74 Bot + 200mL,
TANDUAY SUPERIOR,BAR,ML,,
TANDUAY WHITE (750ml),BAR,ML,121 Bot + 460mL,
TANG ORANGE POWDER,BAR,EA,233 Pack,
TANG PINEAPPLE POWDER,BAR,EA,124 Pack,
TANQUERAY GIN (750ml),BAR,ML,2 Bot + 45mL,
TEA,BAR,EA,4 Box + 88 Pcs,
TEQUILA ROSE (750ml),BAR,ML,1 Bot + 230mL,
TONIC WATER (CAN),BAR,EA,,
TRIPLE SEC (750ml),BAR,ML,,
Turmeric Powder,BAR,KG,,
Vanilla Plant Protein,BAR,GR,,
VANILLA SYRUP,BAR,ML,,
Virgin Coconut Oil (200ml),BAR,ML,,
Wheatgrass Powder,BAR,KG,,
WHITE CASTLE,BAR,ML,,
WHITE WINE,BAR,ML,,
Mango,Fruits,EA,mixer,orange
Pineapple,Fruits,EA,mixer,pineapple
watermelon,Fruits,EA,,
banana,Fruits,EA,,
calamansi,Fruits,EA,,
sugar syrup,Fruits,EA,frozen mixer,mango
ginger syrup,Fruits,EA,,pineapple
SUPER LEMON,Fruits,EA,,orange
SOUR MIX,Fruits,EA,,strawberry
CHARCOAL POWDER,Fruits,EA,,
CHIA SEED,Fruits,EA,,
CINAMON,Fruits,EA,,cookies
